"Story","Title","Result","Date","Stability","Duration (s)"
"Gestión de categorías","Agregar una categoría correctamente","SUCCESS","2026-06-30T14:29:55.469-05:00[America/Bogota]","0.0","10.9"
"Gestión de Garantías","Registrar una nueva garantía exitosamente","SUCCESS","2026-06-30T14:40:43.657-05:00[America/Bogota]","0.0","31.7"
"Crear producto","Agregar un producto correctamente","SUCCESS","2026-06-30T14:29:31.724-05:00[America/Bogota]","0.0","13.49"
"Crear Subcategoria","Agregar una subcategoria correctamente","SUCCESS","2026-06-30T14:27:14.542-05:00[America/Bogota]","0.0","10.94"
"Crear usuario","Agregar un usuario correctamente","SUCCESS","2026-06-30T14:26:29.495-05:00[America/Bogota]","0.0","15.67"
"Editar categorías","Editar una categoría correctamente","SUCCESS","2026-06-30T14:25:31.234-05:00[America/Bogota]","0.0","10.99"
"Gestión de Garantías","Edita una garantía existente exitosamente","SUCCESS","2026-06-30T14:24:18.14-05:00[America/Bogota]","0.0","14.33"
"Crear producto","Editar producto correctamente","SUCCESS","2026-06-30T14:23:48.503-05:00[America/Bogota]","0.0","10.5"
"Editar usuario","Edición de usuario exitosa","SUCCESS","2026-06-30T14:21:50.628-05:00[America/Bogota]","0.0","27.86"
"Inicio de sesión","Verificar autenticación exitosa en Traclinker","SUCCESS","2026-06-30T14:21:29.74-05:00[America/Bogota]","0.0","7.55"
